Site,Archive or Source (site visit),Location in Archive or Date of My Visit,Type,Item (File Name),Title,PDF?
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,DSC05373.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 14,Jean Claude Ludi,Eine Andere Moderne…,1990.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 15,Coop-Zeitung,Bevor die Decke…,1990.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 15,DSC05374.JPG,Bevor die Decke…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 15,DSC05375.JPG,Bevor die Decke…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 2,DSC05405.JPG,Bevor die Decke…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 2,Genossenschaft,Coop Frauenbund…,Nov 1964.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 3,DSC05403.JPG,Coop Frauenbund…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 3,DSC05404.JPG,Coop Frauenbund…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 3,Genossenschaft,Das erste Bildungs-…,April 1975.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 4,DSC05401.JPG,Das erste Bildungs-…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 4,DSC05402.JPG,Das erste Bildungs-…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 4,Genossenschaft,Was wurde…?,August 1975.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,Coop-Zeitung,Komplett aus dem…,1978.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05395.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05396.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05397.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05398.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05399.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 5,DSC05400.JPG,Komplett aus dem…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 6,Coop-Zeitung,Ein kleines Paradies,1979.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 6,DSC05392.JPG,Ein kleines Paradies,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 6,DSC05393.JPG,Ein kleines Paradies,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 7,Coop-Zeitung,Aktive Erholung…,1980.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 7,DSC05390.JPG,Aktive Erholung…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 7,DSC05391.JPG,Aktive Erholung…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 8,Coop-Zeitung,Der Coop Frauenbund…,1980.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 8,DSC05388.JPG,Der Coop Frauenbund…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 8,DSC05389.JPG,Der Coop Frauenbund…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 9,Coop-Zeitung,In Mümliswil kann man…,1986.pdf
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 9,DSC05386.JPG,In Mümliswil kann man…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-BBR-1,Article 9,DSC05387.JPG,In Mümliswil kann man…,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05273.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05274.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05275.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05276.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05277.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05278.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05279.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05280.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05281.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05282.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05283.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05284.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05285.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05286.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05287.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05288.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05289.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05290.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05291.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05292.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05293.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05294.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05295.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05296.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05297.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05298.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05299.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-F…,Period Photos by M Wolgensinger,DSC05300.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05159.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05160.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05161.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05162.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05163.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05164.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05165.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05166.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05167.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05168.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05169.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05170.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05171.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05172.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05173.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05174.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05175.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05176.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05177.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05178.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05179.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05180.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05181.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05182.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05183.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05184.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05185.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05186.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05187.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05188.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05189.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05190.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05191.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05192.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05193.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05194.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05195.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05196.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05197.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05198.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05199.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05200.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05201.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05202.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05203.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05204.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05205.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05206.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05207.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05208.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05209.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05210.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05211.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05212.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05213.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05214.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05215.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05216.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05217.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05218.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05219.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05220.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05221.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05222.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05223.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05224.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05225.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05226.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05227.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05228.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05229.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05230.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05231.JPG,,
Mümliswil,GTA Zürich,Archive Item 28-1937-1-…,Architectural Drawings,DSC05232.JPG,,
Mümliswil,My Visit,July 2012,Photos,IMG_0909.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_0910.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_0911.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_0912.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_0913.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_1474.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_1475.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_1476.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_1477.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_1478.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_1479.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_1480.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_1481.jpg,,
Mümliswil,My Visit,July 2012,Photos,IMG_1482.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Back Yard North.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Basement Door.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Bench 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Bench 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Bench.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Carport 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Carport 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Carport.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 1 (1).jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 2 (1).jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 3 (1).jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 3.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 4 (1).jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 4.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 5.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Dining Hall 6.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Door.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Downspout.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim East Side 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim East Side 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim East Side 3.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim East Side 4.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim East Side Window.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim East Wall 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim East Wall 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Eave 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Eave 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Eave 3.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Eave 4.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Fountain 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Fountain 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim in Background 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim in Background 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim in Background 3.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim NE Corner.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim NW Corner.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Ping Pong Table.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim Roll Window.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim SE Corner.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim SE Corner:Overview.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Side.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Wall 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Wall 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Wall 3.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Wall 4.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Wall 5.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Wall 6.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Wall 7.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Wall 8.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim South Wall.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim SW Corner.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim West Side 1.jpg,,
Mümliswil,My Visit,July 2012,Photos,Kinderheim West Side 2.jpg,,
Mümliswil,My Visit,July 2012,Photos,View from Kinderheim.jpg,,
Mümliswil,Web,e-periodica.ch,Article,Hannes Meyer,Kinderheim…,1953.pdf
Mümliswil,Web,Kanton Solothurn Webpage,Article,Gabriel Häussler,Hannes Meyer und das Kinderheim…,2005.pdf
Mümliswil,Web,Kinderheime in der Schweiz Webpage,Article,Thomas Huonker,Hannes Meyers … Kinderheim Mümliswil,2012.pdf